Site,Distance from estuary mouth,Depth from (m),Depth to (m),AVERAGE depth,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC20,20,0.75,1.12,0.935,0,0,69.97,1.6,0.039,1.319,0.001,0.004,0.015,1.79,0.4,0.009,0.117,0.405,0.002,0.013,46.148,32.087,20.004,229.852,313.878,97.512
MSC21,21,0,0.1,0.05,0,0,345.25,11.8,0.464,26.807,0.007,0.005,0.025,83.297,1.782,0.348,0.544,1.049,0.086,0.313,268.64,140.624,67.921,1165.112,2031.768,323.063
MSC21,21,0.1,0.37,0.235,0,0,344.16,7.75,0.376,53.564,0.012,0.009,0.014,71.605,3.053,0.245,0.677,1.143,0.025,0.251,556.079,342.466,71.358,1880.704,3307.568,718.977
MSC21,21,0.37,0.56,0.465,0,0,382,13.5,0.574,140.539,0.017,0.017,0.019,80.994,3.373,0.924,1.114,1.403,0.664,0.277,769.752,434.114,80.683,2471.935,4169.312,1116.618
MSC21,21,0.56,0.72,0.64,0,0.07,475.81,13.3,0.517,460.507,0.035,0.016,0.015,321.836,3.855,7.681,3.241,1.44,2.148,0.331,815.286,403.606,70.057,2255.233,3927.38,1939.785
MSC21,21,0.72,1.4,1.06,0,0,373.87,19.3,0.7005,577.093,0.059,0.016,0.025,429.214,5.65,13.736,10.96,1.808,6.317,0.446,1166.589,587.143,96.827,3144.343,5619.692,2396.287
MSC22,22,0,0.3,0.15,0,0,449.25,13.5,0.489,12.592,0.008,0.009,0.042,76.495,10.002,0.057,0.369,1.149,0.023,0.28,355.444,146.973,65.468,355.966,647.048,514.012
MSC22,22,0.3,0.45,0.375,0,0,325.27,14.3,0.709,16.086,0.012,0.012,0.018,5.193,1.139,0.058,0.165,1.7,0.016,0.151,645.795,395.644,100.777,2013.626,3317.112,811.613
MSC22,22,0.45,0.63,0.54,0,0,207.43,26.9,1.26,19.48,0.01,0.01,0.063,4.237,1.664,0.065,0.195,1.755,0.018,0.25,1131.609,812.346,152.25,4320.99,7515.016,1236.81
MSC22,22,0.63,0.8,0.715,0,0,73.03,6.63,0.218,4.457,0.004,0.009,0.007,0.939,0.551,0.029,0.064,1.162,0.008,0.112,398.861,250.606,52.323,1368.298,2298.829,467.74
